《1748-0000》,# カンマ区切りテキスト形式です。
《1748-2130》,《節中》,大暑六月中翌うの初刻日の出より日入まて,昼五十八刻余/夜四十一刻余,六より六まて,昼六十三刻余/夜三十六刻余
《1748-2140》,《暦日2》,廿七／,かのえたつ,おさん,金,中伏,めつもん  けんふくよし
《1748-2150》,《暦日0》,廿八／,かのとのみ,ひらく,,　,ちう日  ものたちよし
《1748-2160》,《暦日1》,廿九／,みつのえむま,とつ,木,　,●
《1748-2170》,《月序》,七月,大,建,庚申,氐宿　井　木よう
《1748-2180》,《暦日1》,一／,みつのとのひつし,たつ,木,　, たねまきよし
《1748-2190》,《暦日2》,二／,きのえさる,のそく,水,十方くれニ入,神よし きしく 大みやう
《1748-2200》,《暦日0》,三／,きのとのとり,みつ,,　,神よし ちいみ
《1748-2210》,《暦日2》,四／,ひのえいぬ,たいら,土,　,五む日 大くわ 地火
《1748-2220》,《暦日0》,五／,ひのとのい,さたん,,　,大みやう ちう日 わうまう
《1748-2230》,《暦日2》,六／,つちのえね,とる,火,　,きこ ふく日 下しきたつの時
《1748-2240》,《暦日0》,七／,つちのとのうし,やふる,,　,十し
《1748-2250》,《暦日2》,八／,かのえとら,あやふ,木,　, やたて  つめとりよし
《1748-2260》,《暦日0》,九／,かのとのう,なる,,　,神よし 天火 らうしやく
《1748-2270》,《暦日2》,十／,みつのえたつ,おさん,水,　,大みやう 五む日 めつもん
《1748-2280》,《暦日0》,十一／,みつのとのみ,ひらく,,天一天上,ちう日  いちたちよし
《1748-2290》,《暦日2》,十二／,きのえむま,とつ,金,　,●
《1748-2300》,《暦日0》,十三／,きのとのひつし,とつ,,　,大みやう 五む日
《1748-2310》,《節中》,立秋七月せつみの五刻ニ入日の出より日入まて,昼五十七刻余/夜四十二刻余,六より六まて,昼六十二刻余/夜三十七刻余
《1748-2320》,《暦日2》,十四／,ひのえさる,たつ,火,　,神よし 下しきみの時  入学よし
《1748-2330》,《暦日0》,十五／,ひのとのとり,のそく,,　,十し
《1748-2340》,《暦日2》,十六／,つちのえいぬ,みつ,木,　, くらたて かまぬりよし
《1748-2350》,《暦日0》,十七／,つちのとのい,たいら,,　,神よし ちう日 めつもん 地火
《1748-2360》,《暦日2》,十八／,かのえね,さたん,土,末伏,神よし ふく日
《1748-2370》,《暦日0》,十九／,かのとのうし,とる,,　,●
《1748-2380》,《暦日2》,廿／,みつのえとら,やふる,金,　,大みやう  やたて  つめとりよし
《1748-2390》,《暦日0》,廿一／,みつのとのう,あやふ,,　,わうまう  わたまし みそすつくりよし
《1748-2400》,《暦日2》,廿二／,きのえたつ,なる,火,　,大みやう くゑ日 ちいみ ふく日
《1748-2410》,《暦日0》,廿三／,きのとのみ,おさん,,　,神よし 大みやう 大くわ ちう日  けんふくよし
《1748-2420》,《暦日2》,廿四／,ひのえむま,ひらく,水,　,神よし 大みやう 天火 らうしやく  かといてよし
《1748-2430》,《暦日0》,廿五／,ひのとのひつし,とつ,,　,神よし  いちたちよし
《1748-2440》,《暦日2》,廿六／,つちのえさる,たつ,土,　,天しや よろつよし
《1748-2450》,《暦日0》,廿七／,つちのとのとり,のそく,,　,十し
《1748-2460》,《暦日1》,廿八／,かのえいぬ,みつ,金,　,大みやう ふく日
《1748-2470》,《節中》,処暑七月中さるの二刻日の出より日入まて,昼五十五刻余/夜四十四刻余,六より六まて,昼六十刻余/夜三十九刻余
《1748-2480》,《暦日1》,廿九／,かのとのい,たいら,金,　,神よし 大みやう ちう日 めつもん 地火
《1748-2490》,《暦日1》,卅／,みつのえね,さたん,木,八せんのはしめ,神よし きしく  くらたてよし
《1748-2500》,《月序》,八月,大,建,辛酉,房宿　柳　土よう
《1748-2510》,《暦日1》,一／,みつのとのうし,とる,木,ま日,●
《1748-2520》,《暦日2》,二／,きのえとら,やふる,水,　,ふく日  かといて  つめとりよし
《1748-2530》,《暦日0》,三／,きのとのう,あやふ,,　,神よし  くらたて かまぬりよし
《1748-2540》,《暦日2》,四／,ひのえたつ,なる,土,ま日,大みやう ちいみ  くさかりよし
《1748-2550》,《暦日0》,五／,ひのとのみ,おさん,,　,さい下しき 大くわ ちう日  ものたちよし
《1748-2560》,《暦日2》,六／,つちのえむま,ひらく,火,ま日,神よし 天火 らうしやく  入学よし
《1748-2570》,《暦日0》,七／,つちのとのひつし,とつ,,　,神よし 大みやう  みそすつくりよし
《1748-2580》,《暦日2》,八／,かのえさる,たつ,木,　,大みやう くゑ日 ふく日 下しきみの時
《1748-2590》,《暦日0》,九／,かのとのとり,のそく,,二百十日,十し
《1748-2600》,《暦日2》,十／,みつのえいぬ,みつ,水,ま日
《1748-2610》,《暦日0》,十一／,みつのとのい,たいら,,八せんのおはり,ちう日 めつもん 地火
《1748-2620》,《暦日2》,十二／,きのえね,さたん,金,　,ふく日  ふねのりよし
《1748-2630》,《暦日0》,十三／,きのとのうし,さたん,,　,神よし ふく日  つめとりよし
《1748-2640》,《節中》,白露八月せついぬの七刻ニ入日の出より日入まて,昼五十二刻余/夜四十七刻余,六より六まて,昼五十七刻余/夜四十二刻余
《1748-2650》,《暦日2》,十四／,ひのえとら,とる,火,　,きこ  つめとりよし
《1748-2660》,《暦日0》,十五／,ひのとのう,やふる,,　, 田かりよし
《1748-2670》,《暦日2》,十六／,つちのえたつ,あやふ,木,　,五む日  みそすつくりよし
《1748-2680》,《暦日0》,十七／,つちのとのみ,なる,,　,十し
《1748-2690》,《暦日2》,十八／,かのえむま,おさん,土,　,めつもん  竹木こりよし
《1748-2700》,《暦日0》,十九／,かのとのひつし,ひらく,,二百廿日,●
《1748-2710》,《暦日2》,廿／,みつのえさる,とつ,金,　,神よし 大みやう
《1748-2720》,《暦日0》,廿一／,みつのとのとり,たつ,,　,大みやう 天火 らうしやく 下しきむまの時
《1748-2730》,《暦日2》,廿二／,きのえいぬ,のそく,火,　,ちいみ  竹木こりよし
《1748-2740》,《暦日0》,廿三／,きのとのい,みつ,,　,ちう日 ふく日  入学よし
《1748-2750》,《暦日2》,廿四／,ひのえね,たいら,水,　,大くわ 地火
《1748-2760》,《暦日0》,廿五／,ひのとのうし,さたん,,　,神よし 大みやう  ものたち  つめとりよし
《1748-2770》,《暦日2》,廿六／,つちのえとら,とる,土,社日,きこ  田かり  つめとりよし
《1748-2780》,《暦日0》,廿七／,つちのとのう,やふる,,　,大みやう
