《0000》,# カンマ区切りテキスト形式です。
《0010》,# ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。
《0020》,# ・表の区画内での改行は“/”で表記します。
《0030》,# ・《行番号》とその次のカラム(《暦首》など)は表成型に用いますので削除しないでください。
《1900》,《暦日2》,五／,ひのえさる,のそく,火,　,神よし
《1910》,《暦日0》,六／,ひのとのとり,みつ,,　,さい下しき 神よし ちいみ  くさかりよし
《1920》,《暦日2》,七／,つちのえいぬ,たいら,木,　,大くわ ふく日 地火
《1930》,《暦日0》,八／,つちのとのい,さたん,,　,月とく ちう日 ふく日  ふねのりよし
《1940》,《暦日2》,九／,かのえね,とる,土,初伏,きこ 下しきたつの時
《1950》,《暦日0》,十／,かのとのうし,やふる,,　,十し
《1960》,《暦日2》,十一／,みつのえとら,あやふ,金,　,大みやう  けんふく  つめとりよし
《1970》,《暦日0》,十二／,みつのとのう,なる,,　,神よし 天火 らうしやく
《1980》,《暦日2》,十三／,きのえたつ,おさん,火,　,大みやう 月とく めつもん  わたましよし
《1990》,《暦日0》,十四／,きのとのみ,ひらく,,　,大みやう 母倉 ちう日
《2000》,《暦日2》,十五／,ひのえむま,とつ,水,とよういの三刻ニ入,●
《2010》,《暦日0》,十六／,ひのとのひつし,たつ,,　,くゑ日
《2020》,《暦日2》,十七／,つちのえさる,のそく,土,　,神よし ふく日  たねまきよし
《2030》,《暦日0》,十八／,つちのとのとり,みつ,,　,神よし 大みやう 天おん 月とく ちいみ ふく日
《2040》,《節中》,大暑六月中いの八刻日の出より日入まて,昼五十八刻余/夜四十一刻余,六より六まて,昼六十三刻余/夜三十六刻余
《2050》,《暦日2》,十九／,かのえいぬ,たいら,金,中伏,大みやう 天おん 大くわ 地火
《2060》,《暦日0》,廿／,かのとのい,さたん,,　,大みやう 天おん ちう日
《2070》,《暦日2》,廿一／,みつのえね,とる,木,八せんのはしめ,天おん きこ 下しきたつの時
《2080》,《暦日0》,廿二／,みつのとのうし,やふる,,ま日,十し
《2090》,《暦日2》,廿三／,きのえとら,あやふ,水,　,母倉 月とく  やたて  つめとりよし
《2100》,《暦日0》,廿四／,きのとのう,なる,,　,神よし 母倉 天火 らうしやく
《2110》,《暦日2》,廿五／,ひのえたつ,おさん,土,ま日,大みやう めつもん  けんふくよし
《2120》,《暦日0》,廿六／,ひのとのみ,ひらく,,　,くゑ日 ちう日 わうまう
《2130》,《暦日2》,廿七／,つちのえむま,とつ,火,ま日,●
《2140》,《暦日0》,廿八／,つちのとのひつし,たつ,,　,大みやう くゑ日 ふく日
《2150》,《暦日1》,廿九／,かのえさる,のそく,木,　,神よし きしく 大みやう  くさかりよし
《2160》,《月序》,七月,小,建,庚申,箕宿　柳　土よう
《2170》,《暦日1》,一／,かのとのとり,みつ,木,　,神よし 大みやう ちいみ  ものたち 井ほりよし
《2180》,《暦日2》,二／,みつのえいぬ,たいら,水,ま日,大くわ 地火
《2190》,《暦日0》,三／,みつのとのい,さたん,,八せんのおはり,ちう日
《2200》,《暦日2》,四／,きのえね,とる,金,　,天おん 月とく きこ 下しきたつの時
《2210》,《暦日0》,五／,きのとのうし,とる,,　,●
《2220》,《節中》,立秋七月せつ今暁とらの五刻ニ入日の出より日入まて,昼五十七刻余/夜四十二刻余,六より六まて,昼六十二刻余/夜三十七刻余
《2230》,《暦日2》,六／,ひのえとら,やふる,火,　,天おん  けんふく  つめとりよし
