《0000》,# カンマ区切りテキスト形式です。
《0010》,# ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。
《0020》,# ・表の区画内での改行は“/”で表記します。
《2600》,《暦日0》,十一／,かのとのい,みつ,,　,神よし 大みやう 天おん ちう日 ふく日
《2610》,《暦日2》,十二／,みつのえね,たいら,木,八せんのはしめ,神よし 天おん 大くわ 地火
《2620》,《暦日0》,十三／,みつのとのうし,さたん,,ま日,神よし 天おん 母倉  たねまき 竹木こり  つめとりよし
《2630》,《暦日2》,十四／,きのえとら,とる,水,　,きこ  かまぬり 田かり  つめとりよし
《2640》,《暦日0》,十五／,きのとのう,やふる,,ひかんニなる,くゑ日 ふく日
《2650》,《暦日1》,十六／,ひのえたつ,あやふ,土,ま日,大みやう 母倉
《2660》,《節中》,秋分八月中さるの五刻日の出より日入まて,昼五十刻余/夜四十九刻半余,六より六まて,昼五十五刻余/夜四十四刻半余
《2670》,《暦日1》,十七／,ひのとのみ,なる,土,　,十し
《2680》,《暦日2》,十八／,つちのえむま,おさん,火,ま日/社日,めつもん わうまう
《2690》,《暦日0》,十九／,つちのとのひつし,ひらく,,　,●
《2700》,《暦日2》,廿／,かのえさる,とつ,木,　,神よし きしく 大みやう 月とく  入学よし
《2710》,《暦日0》,廿一／,かのとのとり,たつ,,　,大みやう くゑ日 ふく日 天火 らうしやく 下しきむまの時
《2720》,《暦日2》,廿二／,みつのえいぬ,のそく,水,ま日,母倉 ちいみ  たねまきよし
《2730》,《暦日0》,廿三／,みつのとのい,みつ,,八せんのおはり,ちう日  いちたちよし
《2740》,《暦日2》,廿四／,きのえね,たいら,金,　,天おん 大くわ 地火  わたましよし
《2750》,《暦日0》,廿五／,きのとのうし,さたん,,　,神よし 天おん 母倉 月とく ふく日  つめとりよし
《2760》,《暦日2》,廿六／,ひのえとら,とる,火,　,天おん きこ  つめとりよし
《2770》,《暦日0》,廿七／,ひのとのう,やふる,,　,天おん  田かりよし
《2780》,《暦日2》,廿八／,つちのえたつ,あやふ,木,　,天おん 母倉 五む日  みそすつくりよし
《2790》,《暦日0》,廿九／,つちのとのみ,なる,,　,十し
《2800》,《月序》,九月,大,建,庚戌,胃宿　心　月よう
《2810》,《暦日2》,一／,かのえむま,おさん,土,　,月とく めつもん  竹木こりよし
《2820》,《暦日0》,二／,かのとのひつし,おさん,,　,大みやう 月とく 大くわ  たねまき 田かりよし
《2830》,《節中》,寒露九月せついの二刻ニ入日の出より日入まて,昼四十八刻/夜五十二刻,六より六まて,昼五十三刻/夜四十七刻
《2840》,《暦日2》,三／,みつのえさる,ひらく,金,　,大みやう  むきまきよし
《2850》,《暦日0》,四／,みつのとのとり,とつ,,　,神よし 大みやう
《2860》,《暦日2》,五／,きのえいぬ,たつ,火,　,くゑ日
