«1803-0000»,【 カンマ区切りテキスト形式です。】
«1803-1210»,«節中»,穀雨三月中たつの二刻日の出より日入まて,昼五十四刻半余|夜四十五刻余,六より六まて,昼六十刻|夜四十刻
«1803-1220»,«暦日2»,三〳,つちのえいぬ,やふる,木,　,ふく日
«1803-1230»,«暦日0»,四〳,つちのとのい,あやふ,,　,●
«1803-1240»,«暦日2»,五〳,かのえね,なる,土,　,さい下しき 神よし きこ
«1803-1250»,«暦日0»,六〳,かのとのうし,おさん,,　,十し
«1803-1260»,«暦日2»,七〳,みつのえとら,ひらく,金,　,大みやう 月とく ちいみ わうまう  つめとりよし
«1803-1270»,«暦日0»,八〳,みつのとのう,とつ,,　,神よし  けんふく かといてよし
«1803-1280»,«暦日2»,九〳,きのえたつ,たつ,火,　,大みやう くゑ日
«1803-1290»,«暦日0»,十〳,きのとのみ,のそく,,　,神よし 大みやう 母倉 ちう日  ふねのりよし
«1803-1300»,«暦日2»,十一〳,ひのえむま,みつ,水,　,神よし 大みやう 母倉 天火 らうしやく
«1803-1310»,«暦日0»,十二〳,ひのとのひつし,たいら,,　,神よし 月とく めつもん 地火
«1803-1320»,«暦日2»,十三〳,つちのえさる,さたん,土,八十八や,くゑ日 ふく日
«1803-1330»,«暦日0»,十四〳,つちのとのとり,とる,,　,神よし 大みやう 天おん ふく日
«1803-1340»,«暦日2»,十五〳,かのえいぬ,やふる,金,　,大みやう 天おん
«1803-1350»,«暦日0»,十六〳,かのとのい,あやふ,,　,●
«1803-1360»,«暦日1»,十七〳,みつのえね,あやふ,木,八せんのはしめ,神よし 天おん ふく日  くらたてよし
«1803-1370»,«節中»,立夏四月せつむまの七刻ニ入日の出より日入まて,昼五十六刻半余|夜四十三刻余,六より六まて,昼六十二刻余|夜三十七刻半余
«1803-1380»,«暦日1»,十八〳,みつのとのうし,なる,木,ま日,天おん きこ  つめとりよし
«1803-1390»,«暦日2»,十九〳,きのえとら,おさん,水,　,母倉 めつもん  つめとりよし
«1803-1400»,«暦日0»,廿〳,きのとのう,ひらく,,　,神よし 母倉 月とく  さひらきよし
«1803-1410»,«暦日2»,廿一〳,ひのえたつ,とつ,土,ま日,大みやう ふく日
«1803-1420»,«暦日0»,廿二〳,ひのとのみ,たつ,,　,●
«1803-1430»,«暦日2»,廿三〳,つちのえむま,のそく,火,ま日,くゑ日
«1803-1440»,«暦日0»,廿四〳,つちのとのひつし,みつ,,　,大みやう くゑ日 わうまう
«1803-1450»,«暦日2»,廿五〳,かのえさる,たいら,木,　,神よし 大みやう 月とく ちいみ 大くわ 地火
«1803-1460»,«暦日0»,廿六〳,かのとのとり,さたん,,　,十し
«1803-1470»,«暦日2»,廿七〳,みつのえいぬ,とる,水,ま日,ふく日
«1803-1480»,«暦日0»,廿八〳,みつのとのい,やふる,,八せんのおはり,くゑ日 ちう日
«1803-1490»,«暦日1»,廿九〳,きのえね,あやふ,金,　,きしく 天おん
«1803-1500»,«月序»,四月,小,建,丁巳,婁宿　柳　土よう
«1803-1510»,«暦日1»,一〳,きのとのうし,なる,金,　,天おん 月とく きこ  かまぬり  つめとりよし
«1803-1520»,«暦日2»,二〳,ひのえとら,おさん,火,　,天おん 母倉 ふく日 めつもん  つめとりよし
«1803-1530»,«暦日0»,三〳,ひのとのう,ひらく,,　,神よし 天おん 母倉  わたましよし
«1803-1540»,«節中»,小満四月中とりの四刻日の出より日入まて,昼五十八刻余|夜四十一刻半余,六より六まて,昼六十四刻|夜三十六刻
