«1783-0000»,【 カンマ区切りテキスト形式です。】
«1783-1740»,«暦日2»,廿二〳,みつのえね,やふる,木,八せんのはしめ,●
«1783-1750»,«暦日0»,廿三〳,みつのとのうし,あやふ,,ま日,天おん ふく日 わうまう  むきかり  つめとりよし
«1783-1760»,«節中»,夏至五月中たつの二刻日の出より日入まて,昼六十刻|夜四十刻,六より六まて,昼六十五刻|夜三十五刻
«1783-1770»,«暦日2»,廿四〳,きのえとら,なる,水,　,母倉 きこ  田うへ  つめとりよし
«1783-1780»,«暦日0»,廿五〳,きのとのう,おさん,,　,母倉 ちいみ 大くわ  ものたちよし
«1783-1790»,«暦日2»,廿六〳,ひのえたつ,ひらく,土,ま日,大みやう 月とく  けんふく いちたちよし
«1783-1800»,«暦日0»,廿七〳,ひのとのみ,とつ,,　,十し
«1783-1810»,«暦日2»,廿八〳,つちのえむま,たつ,火,ま日,くゑ日 下しきうの時
«1783-1820»,«暦日0»,廿九〳,つちのとのひつし,のそく,,　,神よし 大みやう  みそすつくり 田うへよし
«1783-1830»,«暦日1»,卅〳,かのえさる,みつ,木,　,神よし 大みやう  入学 むきかりよし
«1783-1840»,«月序»,六月,小,建,己未,亢宿　危　月よう
«1783-1850»,«暦日1»,一〳,かのとのとり,たいら,木,　,神よし 大みやう 月とく めつもん 地火
«1783-1860»,«暦日2»,二〳,みつのえいぬ,さたん,水,ま日, むきかりよし
«1783-1870»,«暦日0»,三〳,みつのとのい,とる,,はんけしやう|八せんのおはり,ちう日 ふく日
«1783-1880»,«暦日2»,四〳,きのえね,やふる,金,　,●
«1783-1890»,«暦日0»,五〳,きのとのうし,あやふ,,　,神よし 天おん  つめとりよし
«1783-1900»,«暦日2»,六〳,ひのえとら,なる,火,　,天おん 母倉 月とく きこ  つめとりよし
«1783-1910»,«暦日0»,七〳,ひのとのう,おさん,,　,天おん 母倉 ちいみ 大くわ ふく日
«1783-1920»,«暦日1»,八〳,つちのえたつ,おさん,木,　,天おん 五む日 ふく日 めつもん
«1783-1930»,«節中»,小暑六月せつむまの七刻ニ入日の出より日入まて,昼五十九刻余|夜四十刻余,六より六まて,昼六十四刻余|夜三十五刻余
«1783-1940»,«暦日1»,九〳,つちのとのみ,ひらく,木,　,くゑ日 ちう日 ふく日
«1783-1950»,«暦日2»,十〳,かのえむま,とつ,土,　,●
