«1707-0000»,【 カンマ区切りテキスト形式です。】
«1707-0010»,【 ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。】
«1707-1540»,«暦日0»,十二〳,みつのとのい,とる,,八せんのおはり,ちう日 ふく日
«1707-1550»,«暦日2»,十三〳,きのえね,やふる,金,　,●
«1707-1560»,«暦日0»,十四〳,きのとのうし,あやふ,,　,神よし  つめとりよし
«1707-1570»,«暦日2»,十五〳,ひのえとら,なる,火,　,きこ  つめとりよし
«1707-1580»,«暦日0»,十六〳,ひのとのう,おさん,,　,ちいみ 大くわ ふく日
«1707-1590»,«暦日2»,十七〳,つちのえたつ,ひらく,木,　,五む日  かまぬり 田うへよし
«1707-1600»,«暦日0»,十八〳,つちのとのみ,とつ,,　,十し
«1707-1610»,«暦日2»,十九〳,かのえむま,たつ,土,　,下しきうの時  むきかりよし
«1707-1620»,«暦日0»,廿〳,かのとのひつし,のそく,,　,大みやう  ふねのり 井ほりよし
«1707-1630»,«暦日2»,廿一〳,みつのえさる,みつ,金,　,神よし 大みやう  くさかりよし
«1707-1640»,«暦日0»,廿二〳,みつのとのとり,たいら,,　,神よし 大みやう ふく日 めつもん 地火
«1707-1650»,«暦日2»,廿三〳,きのえいぬ,さたん,火,夏至五月中いぬの七刻,わうまう  わたまし くらたてよし
«1707-1660»,«暦日0»,廿四〳,きのとのい,とる,,　,ちう日  むきかり 田うへよし
«1707-1670»,«暦日2»,廿五〳,ひのえね,やふる,水,　,●
«1707-1680»,«暦日0»,廿六〳,ひのとのうし,あやふ,,　,神よし 大みやう ふく日  ものたち  つめとりよし
«1707-1690»,«暦日2»,廿七〳,つちのえとら,なる,土,　,きこ  みそすつくり  つめとりよし
«1707-1700»,«暦日0»,廿八〳,つちのとのう,おさん,,　,大みやう ちいみ 大くわ
«1707-1710»,«暦日2»,廿九〳,かのえたつ,ひらく,金,　, けんふく かといてよし
«1707-1720»,«暦日0»,卅〳,かのとのみ,とつ,,　,十し
«1707-1730»,«月序»,六月,小,建,丁未,壁宿　角　木よう
