《1687-0000》,# カンマ区切りテキスト形式です。
《1687-0010》,# ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。
《1687-1830》,《暦日2》,十／,ひのえたつ,おさん,土,ま日,きしく 大みやう めつもん  けんふくよし
《1687-1840》,《暦日0》,十一／,ひのとのみ,ひらく,,とようみの五刻ニ入,くゑ日 ちう日
《1687-1850》,《暦日2》,十二／,つちのえむま,とつ,火,ま日,●
《1687-1860》,《暦日0》,十三／,つちのとのひつし,たつ,,　,大みやう くゑ日 ふく日
《1687-1870》,《暦日2》,十四／,かのえさる,のそく,木,六月中むまの一刻/中伏,神よし 大みやう  くさかりよし
《1687-1880》,《暦日0》,十五／,かのとのとり,みつ,,　,神よし 大みやう ちいみ  ものたち 井ほりよし
《1687-1890》,《暦日2》,十六／,みつのえいぬ,たいら,水,ま日,大くわ 地火
《1687-1900》,《暦日0》,十七／,みつのとのい,さたん,,八せんのおはり,ちう日
《1687-1910》,《暦日2》,十八／,きのえね,とる,金,　,きこ 下しきたつの時
《1687-1920》,《暦日0》,十九／,きのとのうし,やふる,,　,十し
《1687-1930》,《暦日2》,廿／,ひのえとら,あやふ,火,　, わたまし  つめとりよし
《1687-1940》,《暦日0》,廿一／,ひのとのう,なる,,　,神よし 天火 らうしやく
《1687-1950》,《暦日2》,廿二／,つちのえたつ,おさん,木,　,五む日 ふく日 めつもん わうまう
《1687-1960》,《暦日0》,廿三／,つちのとのみ,ひらく,,　,くゑ日 ちう日 ふく日
《1687-1970》,《暦日2》,廿四／,かのえむま,とつ,土,　,●
《1687-1980》,《暦日0》,廿五／,かのとのひつし,たつ,,　,大みやう  かといて ふねのりよし
《1687-1990》,《暦日2》,廿六／,みつのえさる,のそく,金,　,神よし 大みやう  くさかりよし
《1687-2000》,《暦日0》,廿七／,みつのとのとり,みつ,,　,神よし 大みやう ちいみ  みそすつくりよし
《1687-2010》,《暦日2》,廿八／,きのえいぬ,たいら,火,　,大くわ 地火  わたましよし
《1687-2020》,《暦日0》,廿九／,きのとのい,たいら,,立秋七月せつさるの六刻ニ入,ちう日 めつもん 地火
《1687-2030》,《暦日1》,卅／,ひのえね,さたん,水,　, 田かりよし
