«1746-2100»,«暦日2»,廿二〳,ひのえいぬ,みつ,土,　,五む日
«1746-2110»,«暦日0»,廿三〳,ひのとのい,たいら,,　,大みやう ちう日 めつもん 地火
«1746-2120»,«暦日2»,廿四〳,つちのえね,さたん,火,　, けんふく くさかりよし
«1746-2130»,«暦日0»,廿五〳,つちのとのうし,とる,,　,●
«1746-2140»,«暦日2»,廿六〳,かのえとら,やふる,木,末伏,ふく日  つめとりよし
«1746-2150»,«暦日0»,廿七〳,かのとのう,あやふ,,　,神よし
«1746-2160»,«暦日2»,廿八〳,みつのえたつ,なる,水,　,大みやう 五む日 ちいみ わうまう
«1746-2170»,«暦日0»,廿九〳,みつのとのみ,おさん,,天一天上,大くわ ちう日  たねまきよし
«1746-2180»,«暦日1»,卅〳,きのえむま,ひらく,金,　,神よし ふく日 天火 らうしやく  かといてよし
«1746-2190»,«月序»,七月,小,建,丙申,箕宿　壁　水よう
«1746-2200»,«暦日1»,一〳,きのとのひつし,とつ,金,　,大みやう 五む日
«1746-2210»,«暦日2»,二〳,ひのえさる,たつ,火,　,神よし 下しきみの時  入学よし
«1746-2220»,«暦日0»,三〳,ひのとのとり,のそく,,　,十し
«1746-2230»,«暦日2»,四〳,つちのえいぬ,みつ,木,　, くらたて かまぬりよし
«1746-2240»,«暦日0»,五〳,つちのとのい,たいら,,　,神よし ちう日 めつもん 地火
«1746-2250»,«節中»,処暑七月中翌とらの四刻日の出より日入まて,昼五十五刻余|夜四十四刻余,六より六まて,昼六十刻余|夜三十九刻余
«1746-2260»,«暦日2»,六〳,かのえね,さたん,土,　,神よし ふく日
«1746-2270»,«暦日0»,七〳,かのとのうし,とる,,　,●
«1746-2280»,«暦日2»,八〳,みつのえとら,やふる,金,　,大みやう  やたて  つめとりよし
«1746-2290»,«暦日0»,九〳,みつのとのう,あやふ,,　,神よし  わたまし みそすつくりよし
«1746-2300»,«暦日2»,十〳,きのえたつ,なる,火,　,きしく 大みやう くゑ日 ちいみ ふく日
«1746-2310»,«暦日0»,十一〳,きのとのみ,おさん,,　,神よし 大みやう 大くわ ちう日  けんふくよし
«1746-2320»,«暦日2»,十二〳,ひのえむま,ひらく,水,　,神よし 大みやう 天火 らうしやく  かといてよし
«1746-2330»,«暦日0»,十三〳,ひのとのひつし,とつ,,　,神よし  いちたちよし
«1746-2340»,«暦日2»,十四〳,つちのえさる,たつ,土,　,天しや よろつよし
«1746-2350»,«暦日0»,十五〳,つちのとのとり,のそく,,　,十し
«1746-2360»,«暦日2»,十六〳,かのえいぬ,みつ,金,　,大みやう ふく日
«1746-2370»,«暦日0»,十七〳,かのとのい,たいら,,二百十日,神よし 大みやう ちう日 めつもん 地火
«1746-2380»,«暦日2»,十八〳,みつのえね,さたん,木,八せんのはしめ,神よし  くらたてよし
«1746-2390»,«暦日0»,十九〳,みつのとのうし,とる,,ま日,●
«1746-2400»,«暦日2»,廿〳,きのえとら,やふる,水,　,ふく日  かといて  つめとりよし
«1746-2410»,«暦日0»,廿一〳,きのとのう,やふる,,　,くゑ日 ふく日
«1746-2420»,«節中»,白露八月せつみの初刻ニ入日の出より日入まて,昼五十二刻余|夜四十七刻余,六より六まて,昼五十七刻余|夜四十二刻余
«1746-2430»,«暦日2»,廿二〳,ひのえたつ,あやふ,土,ま日,大みやう
«1746-2440»,«暦日0»,廿三〳,ひのとのみ,なる,,　,十し
«1746-2450»,«暦日2»,廿四〳,つちのえむま,おさん,火,ま日,めつもん
«1746-2460»,«暦日0»,廿五〳,つちのとのひつし,ひらく,,　,●
«1746-2470»,«暦日2»,廿六〳,かのえさる,とつ,木,　,神よし 大みやう  入学よし
«1746-2480»,«暦日0»,廿七〳,かのとのとり,たつ,,二百廿日,大みやう くゑ日 ふく日 天火 らうしやく 下しきむまの時
«1746-2490»,«暦日2»,廿八〳,みつのえいぬ,のそく,水,ま日,ちいみ  たねまきよし
«1746-2500»,«暦日0»,廿九〳,みつのとのい,みつ,,八せんのおはり,ちう日  いちたちよし
«1746-2510»,«月序»,八月,大,建,丁酉,斗宿　奎　木よう
