《0000》,# カンマ区切りテキスト形式です。
《0010》,# ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。
《0020》,# ・表の区画内での改行は“/”で表記します。
《2710》,《節中》,秋分八月中みの三刻日の出より日入まて,昼五十刻余/夜四十九刻半余,六より六まて,昼五十五刻余/夜四十四刻半余
《2720》,《暦日1》,廿一／,みつのとのとり,たつ,金,　,大みやう 天火 らうしやく 下しきむまの時
《2730》,《暦日2》,廿二／,きのえいぬ,のそく,火,　,母倉 ちいみ わうまう  竹木こりよし
《2740》,《暦日0》,廿三／,きのとのい,みつ,,　,月とく ちう日 ふく日  入学よし
《2750》,《暦日2》,廿四／,ひのえね,たいら,水,　,大くわ 地火
《2760》,《暦日0》,廿五／,ひのとのうし,さたん,,　,神よし 大みやう 母倉  ものたち  つめとりよし
《2770》,《暦日2》,廿六／,つちのえとら,とる,土,　,きこ  田かり  つめとりよし
《2780》,《暦日0》,廿七／,つちのとのう,やふる,,　,大みやう 天おん
《2790》,《暦日2》,廿八／,かのえたつ,あやふ,金,　,天おん 母倉 月とく
《2800》,《暦日0》,廿九／,かのとのみ,なる,,　,十し
《2810》,《暦日1》,卅／,みつのえむま,おさん,木,　,大みやう 天おん めつもん
《2820》,《月序》,九月,小,建,丙戌,星宿　尾　火よう
《2830》,《暦日1》,一／,みつのとのひつし,ひらく,木,　,●
《2840》,《暦日2》,二／,きのえさる,とつ,水,十方くれニ入,神よし 大みやう  竹木こり 田かりよし
《2850》,《暦日0》,三／,きのとのとり,たつ,,　,月とく ふく日 天火 らうしやく 下しきむまの時
《2860》,《暦日2》,四／,ひのえいぬ,のそく,土,　,母倉 五む日 ちいみ
《2870》,《暦日0》,五／,ひのとのい,のそく,,　,大みやう ちう日
《2880》,《節中》,寒露九月せつひつしの八刻ニ入日の出より日入まて,昼四十八刻/夜五十二刻,六より六まて,昼五十三刻/夜四十七刻
《2890》,《暦日2》,六／,つちのえね,みつ,火,　,きこ ふく日 天火 らうしやく
《2900》,《暦日0》,七／,つちのとのうし,たいら,,　,十し
《2910》,《暦日2》,八／,かのえとら,さたん,木,　,●
《2920》,《暦日0》,九／,かのとのう,とる,,　,くゑ日
《2930》,《暦日2》,十／,みつのえたつ,やふる,水,　,大みやう 五む日 くゑ日
《2940》,《暦日0》,十一／,みつのとのみ,あやふ,,天一天上,くゑ日 ちいみ ちう日 下しきひつしの時
《2950》,《暦日2》,十二／,きのえむま,なる,金,　,くゑ日
《2960》,《暦日0》,十三／,きのとのひつし,おさん,,　,大みやう 五む日 くゑ日 大くわ
