«1797-0000»,【 カンマ区切りテキスト形式です。】
«1797-2180»,«暦日1»,一〳,つちのとのい,さたん,木,　,月とく ちう日 ふく日  ふねのりよし
«1797-2190»,«暦日2»,二〳,かのえね,とる,土,中伏,きこ 下しきたつの時
«1797-2200»,«暦日0»,三〳,かのとのうし,やふる,,　,十し
«1797-2210»,«暦日2»,四〳,みつのえとら,あやふ,金,　,大みやう  けんふく  つめとりよし
«1797-2220»,«暦日0»,五〳,みつのとのう,なる,,　,神よし 天火 らうしやく
«1797-2230»,«暦日2»,六〳,きのえたつ,おさん,火,　,大みやう 月とく めつもん わうまう  わたましよし
«1797-2240»,«暦日0»,七〳,きのとのみ,ひらく,,　,大みやう 母倉 ちう日
«1797-2250»,«暦日2»,八〳,ひのえむま,とつ,水,　,●
«1797-2260»,«暦日0»,九〳,ひのとのひつし,たつ,,　,くゑ日
«1797-2270»,«暦日2»,十〳,つちのえさる,のそく,土,　,神よし ふく日  たねまきよし
«1797-2280»,«暦日0»,十一〳,つちのとのとり,みつ,,　,神よし 大みやう 天おん 月とく ちいみ ふく日
«1797-2290»,«暦日2»,十二〳,かのえいぬ,たいら,金,　,大みやう 天おん 大くわ 地火
«1797-2300»,«暦日0»,十三〳,かのとのい,さたん,,　,大みやう 天おん ちう日
«1797-2310»,«暦日1»,十四〳,みつのえね,さたん,木,八せんのはしめ,神よし 天おん 月とく  くらたてよし
«1797-2320»,«節中»,立秋七月せつたつの五刻ニ入日の出より日入まて,昼五十七刻余|夜四十二刻余,六より六まて,昼六十二刻余|夜三十七刻余
«1797-2330»,«暦日1»,十五〳,みつのとのうし,とる,木,ま日,●
«1797-2340»,«暦日2»,十六〳,きのえとら,やふる,水,　,ふく日  かといて  つめとりよし
«1797-2350»,«暦日0»,十七〳,きのとのう,あやふ,,　,神よし  くらたて かまぬりよし
«1797-2360»,«暦日2»,十八〳,ひのえたつ,なる,土,ま日,大みやう 母倉 ちいみ  くさかりよし
«1797-2370»,«暦日0»,十九〳,ひのとのみ,おさん,,　,月とく 大くわ ちう日  ものたちよし
«1797-2380»,«暦日2»,廿〳,つちのえむま,ひらく,火,ま日,神よし 天火 らうしやく  入学よし
«1797-2390»,«暦日0»,廿一〳,つちのとのひつし,とつ,,　,神よし 大みやう 母倉  みそすつくりよし
«1797-2400»,«暦日2»,廿二〳,かのえさる,たつ,木,末伏,大みやう くゑ日 ふく日 わうまう 下しきみの時
«1797-2410»,«暦日0»,廿三〳,かのとのとり,のそく,,　,十し
«1797-2420»,«暦日2»,廿四〳,みつのえいぬ,みつ,水,ま日,母倉 月とく
«1797-2430»,«暦日0»,廿五〳,みつのとのい,たいら,,八せんのおはり,ちう日 めつもん 地火
«1797-2440»,«暦日2»,廿六〳,きのえね,さたん,金,　,きしく 天おん ふく日  ふねのりよし
«1797-2450»,«暦日0»,廿七〳,きのとのうし,とる,,　,●
«1797-2460»,«暦日2»,廿八〳,ひのえとら,やふる,火,　,天おん  けんふく  つめとりよし
«1797-2470»,«暦日0»,廿九〳,ひのとのう,あやふ,,　,神よし 天おん 月とく  わたましよし
«1797-2480»,«節中»,処暑七月中ひつしの二刻日の出より日入まて,昼五十五刻余|夜四十四刻余,六より六まて,昼六十刻余|夜三十九刻余
«1797-2490»,«月序»,閏七月,小,隨節用之,翼　火よう
«1797-2500»,«暦日2»,一〳,つちのえたつ,なる,木,　,天おん 母倉 五む日 ちいみ  いちたちよし
«1797-2510»,«暦日0»,二〳,つちのとのみ,おさん,,　,神よし 大くわ ちう日
«1797-2520»,«暦日2»,三〳,かのえむま,ひらく,土,　,神よし ふく日 天火 らうしやく
«1797-2530»,«暦日0»,四〳,かのとのひつし,とつ,,　,大みやう 母倉  ものたちよし
