《0000》,# カンマ区切りテキスト形式です。
《0010》,# ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。
《0020》,# ・表の区画内での改行は“/”で表記します。
《0030》,# ・《行番号》とその次のカラム(《暦首》など)は表成型に用いますので削除しないでください。
《1590》,《暦日2》,八／,みつのえね,あやふ,木,八せんのはしめ,神よし 天おん ふく日  くらたてよし
《1600》,《暦日0》,九／,みつのとのうし,なる,,ま日,天おん きこ  つめとりよし
《1610》,《暦日2》,十／,きのえとら,おさん,水,　,母倉 めつもん  つめとりよし
《1620》,《暦日0》,十一／,きのとのう,ひらく,,　,神よし 母倉 月とく  さひらきよし
《1630》,《暦日2》,十二／,ひのえたつ,とつ,土,ま日,大みやう ふく日
《1640》,《暦日0》,十三／,ひのとのみ,たつ,,　,●
《1650》,《暦日2》,十四／,つちのえむま,のそく,火,ま日,くゑ日
《1660》,《暦日0》,十五／,つちのとのひつし,みつ,,　,大みやう くゑ日
《1670》,《暦日2》,十六／,かのえさる,たいら,木,　,神よし 大みやう 月とく ちいみ 大くわ 地火
《1680》,《暦日0》,十七／,かのとのとり,さたん,,　,十し
《1690》,《暦日1》,十八／,みつのえいぬ,さたん,水,入梅/ま日, むきかりよし
《1700》,《節中》,芒種五月せつひつしの三刻ニ入日の出より日入まて,昼五十九刻半/夜四十刻半,六より六まて,昼六十五刻余/夜三十四刻半余
《1710》,《暦日1》,十九／,みつのとのい,とる,水,八せんのおはり,ちう日 ふく日
《1720》,《暦日2》,廿／,きのえね,やふる,金,　,●
《1730》,《暦日0》,廿一／,きのとのうし,あやふ,,　,神よし 天おん  つめとりよし
《1740》,《暦日2》,廿二／,ひのえとら,なる,火,　,天おん 母倉 月とく きこ  つめとりよし
《1750》,《暦日0》,廿三／,ひのとのう,おさん,,　,天おん 母倉 ちいみ 大くわ ふく日
《1760》,《暦日2》,廿四／,つちのえたつ,ひらく,木,　,天おん 五む日  かまぬり 田うへよし
《1770》,《暦日0》,廿五／,つちのとのみ,とつ,,　,十し
《1780》,《暦日2》,廿六／,かのえむま,たつ,土,　,下しきうの時  むきかりよし
《1790》,《暦日0》,廿七／,かのとのひつし,のそく,,　,大みやう 月とく  ふねのり 井ほりよし
《1800》,《暦日2》,廿八／,みつのえさる,みつ,金,　,神よし 大みやう  くさかりよし
《1810》,《暦日0》,廿九／,みつのとのとり,たいら,,　,神よし 大みやう ふく日 めつもん 地火
《1820》,《月序》,五月,小,建,丙午,參宿　參　水よう
《1830》,《暦日2》,一／,きのえいぬ,さたん,火,　, わたまし くらたてよし
《1840》,《暦日0》,二／,きのとのい,とる,,　,ちう日  むきかり 田うへよし
《1850》,《暦日2》,三／,ひのえね,やふる,水,　,●
《1860》,《暦日0》,四／,ひのとのうし,あやふ,,　,大みやう ふく日 わうまう  ものたち  つめとりよし
《1870》,《節中》,夏至五月中とりの八刻日の出より日入まて,昼五十九刻半余/夜四十刻余,六より六まて,昼六十五刻半余/夜三十四刻余
《1880》,《暦日2》,五／,つちのえとら,なる,土,　,母倉 きこ  みそすつくり  つめとりよし
《1890》,《暦日0》,六／,つちのとのう,おさん,,　,大みやう 天おん 母倉 ちいみ 大くわ
《1900》,《暦日2》,七／,かのえたつ,ひらく,金,　,天おん  けんふく かといてよし
《1910》,《暦日0》,八／,かのとのみ,とつ,,　,十し
《1920》,《暦日2》,九／,みつのえむま,たつ,木,　,大みやう 天おん 下しきうの時
《1930》,《暦日0》,十／,みつのとのひつし,のそく,,　,天おん ふく日  田うへよし
《1940》,《暦日2》,十一／,きのえさる,みつ,水,十方くれニ入,神よし 大みやう
《1950》,《暦日0》,十二／,きのとのとり,たいら,,　,神よし めつもん 地火
《1960》,《暦日2》,十三／,ひのえいぬ,さたん,土,　,月とく 五む日  むきかりよし
《1970》,《暦日0》,十四／,ひのとのい,とる,,はんけしやう,大みやう ちう日 ふく日
《1980》,《暦日2》,十五／,つちのえね,やふる,火,　,●
《1990》,《暦日0》,十六／,つちのとのうし,あやふ,,　, 田うへ  つめとりよし
《2000》,《暦日2》,十七／,かのえとら,なる,木,　,母倉 きこ  井ほり  つめとりよし
《2010》,《暦日0》,十八／,かのとのう,おさん,,　,母倉 月とく ちいみ 大くわ  ものたちよし
《2020》,《暦日2》,十九／,みつのえたつ,ひらく,水,　,大みやう 五む日
《2030》,《暦日0》,廿／,みつのとのみ,ひらく,,天一天上,母倉 ちう日  いちたちよし
《2040》,《節中》,小暑六月せつ今暁ねの五刻ニ入日の出より日入まて,昼五十九刻半/夜四十刻半,六より六まて,昼六十五刻余/夜三十四刻半余
《2050》,《暦日2》,廿一／,きのえむま,とつ,金,　,●
《2060》,《暦日0》,廿二／,きのとのひつし,たつ,,　,大みやう 五む日
《2070》,《暦日2》,廿三／,ひのえさる,のそく,火,　,神よし
《2080》,《暦日0》,廿四／,ひのとのとり,みつ,,　,神よし ちいみ  くさかりよし
《2090》,《暦日2》,廿五／,つちのえいぬ,たいら,木,　,大くわ ふく日 地火
《2100》,《暦日0》,廿六／,つちのとのい,さたん,,　,月とく ちう日 ふく日  ふねのりよし
《2110》,《暦日2》,廿七／,かのえね,とる,土,初伏,きこ 下しきたつの時
《2120》,《暦日0》,廿八／,かのとのうし,やふる,,　,十し
《2130》,《暦日1》,廿九／,みつのえとら,あやふ,金,　,大みやう  けんふく  つめとりよし
《2140》,《月序》,六月,大,建,丁未,井宿　井　木よう
《2150》,《暦日1》,一／,みつのとのう,なる,金,　,神よし 天火 らうしやく
《2160》,《暦日2》,二／,きのえたつ,おさん,火,　,きしく 大みやう 月とく めつもん  わたましよし
《2170》,《暦日0》,三／,きのとのみ,ひらく,,とよう今暁とらの六刻ニ入,大みやう 母倉 ちう日
《2180》,《暦日2》,四／,ひのえむま,とつ,水,　,●
《2190》,《暦日0》,五／,ひのとのひつし,たつ,,　,さい下しき くゑ日
《2200》,《暦日1》,六／,つちのえさる,のそく,土,　,神よし ふく日  たねまきよし
《2210》,《節中》,大暑六月中うの二刻日の出より日入まて,昼五十八刻余/夜四十一刻半余,六より六まて,昼六十四刻/夜三十六刻
《2220》,《暦日1》,七／,つちのとのとり,みつ,土,　,神よし 大みやう 天おん 月とく ちいみ ふく日
《2230》,《暦日2》,八／,かのえいぬ,たいら,金,中伏,大みやう 天おん 大くわ 地火
《2240》,《暦日0》,九／,かのとのい,さたん,,　,大みやう 天おん ちう日
《2250》,《暦日2》,十／,みつのえね,とる,木,八せんのはしめ,天おん きこ 下しきたつの時
《2260》,《暦日0》,十一／,みつのとのうし,やふる,,ま日,十し
《2270》,《暦日2》,十二／,きのえとら,あやふ,水,　,母倉 月とく  やたて  つめとりよし
《2280》,《暦日0》,十三／,きのとのう,なる,,　,神よし 母倉 天火 らうしやく
《2290》,《暦日2》,十四／,ひのえたつ,おさん,土,ま日,大みやう めつもん わうまう  けんふくよし
《2300》,《暦日0》,十五／,ひのとのみ,ひらく,,　,くゑ日 ちう日
《2310》,《暦日2》,十六／,つちのえむま,とつ,火,ま日,●
《2320》,《暦日0》,十七／,つちのとのひつし,たつ,,　,大みやう くゑ日 ふく日
《2330》,《暦日2》,十八／,かのえさる,のそく,木,　,神よし 大みやう  くさかりよし
《2340》,《暦日0》,十九／,かのとのとり,みつ,,　,神よし 大みやう ちいみ  ものたち 井ほりよし
《2350》,《暦日2》,廿／,みつのえいぬ,たいら,水,ま日,大くわ 地火
《2360》,《暦日0》,廿一／,みつのとのい,たいら,,八せんのおはり,ちう日 めつもん 地火
《2370》,《節中》,立秋七月せつみの七刻ニ入日の出より日入まて,昼五十六刻半余/夜四十三刻余,六より六まて,昼六十二刻余/夜三十七刻半余
《2380》,《暦日2》,廿二／,きのえね,さたん,金,　,天おん ふく日  ふねのりよし
《2390》,《暦日0》,廿三／,きのとのうし,とる,,　,●
《2400》,《暦日2》,廿四／,ひのえとら,やふる,火,　,天おん  けんふく  つめとりよし
《2410》,《暦日0》,廿五／,ひのとのう,あやふ,,　,神よし 天おん 月とく  わたましよし
《2420》,《暦日2》,廿六／,つちのえたつ,なる,木,　,天おん 母倉 五む日 ちいみ  いちたちよし
《2430》,《暦日0》,廿七／,つちのとのみ,おさん,,　,神よし 大くわ ちう日
《2440》,《暦日2》,廿八／,かのえむま,ひらく,土,末伏,神よし ふく日 天火 らうしやく
《2450》,《暦日0》,廿九／,かのとのひつし,とつ,,　,大みやう 母倉 わうまう  ものたちよし
《2460》,《暦日1》,卅／,みつのえさる,たつ,金,　,神よし きしく 大みやう 月とく 下しきみの時
《2470》,《月序》,七月,小,建,戊申,鬼宿　柳　土よう
《2480》,《暦日1》,一／,みつのとのとり,のそく,金,　,十し
《2490》,《暦日2》,二／,きのえいぬ,みつ,火,　,母倉 ふく日  くらたてよし
《2500》,《暦日0》,三／,きのとのい,たいら,,　,ちう日 めつもん 地火
《2510》,《暦日2》,四／,ひのえね,さたん,水,　, 田かりよし
《2520》,《暦日0》,五／,ひのとのうし,とる,,　,●
《2530》,《暦日1》,六／,つちのえとら,やふる,土,　, たねまき  つめとりよし
《2540》,《節中》,処暑七月中さるの四刻日の出より日入まて,昼五十四刻半余/夜四十五刻余,六より六まて,昼六十刻/夜四十刻
《2550》,《暦日1》,七／,つちのとのう,あやふ,土,　,神よし 大みやう 天おん  みそすつくりよし
