《1743-0000》,# カンマ区切りテキスト形式です。
《1743-0010》,# ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。
《1743-0020》,# ・表の区画内での改行は“/”で表記します。
《1743-0030》,# ・《行番号》とその次のカラム(《暦首》など)は表成型に用いますので削除しないでください。
《1743-0040》,# ・カンマ","を追加・削除すると、その行が表成型できない場合があります。
《1743-0050》,# 外部リンク
《1743-0060》,# ・国会図書館 : https://dl.ndl.go.jp/info:ndljp/pid/2546784/205 ～ 210
《1743-0070》,# ・hosi.org　 : http://hosi.org:3000/Note/1743g　(GitHub上データを表成型)
《1743-0080》,# 　　　　　　 　http://hosi.org:3000/Note/1743h　(翻刻編集データを表成型 - 未実装)
《1743-0090》,# 　変体仮名例 : https://github.com/suchowan/calendar_papers/blob/master/kanagoyomi/picture/hentaigana_example.png
《1743-0100》,《版元》,出版地○○,出版元□□□,　
《1743-1700》,《暦日2》,十七／,かのえむま,たつ,土,　,下しきうの時  むきかりよし
《1743-1710》,《暦日0》,十八／,かのとのひつし,のそく,,　,大みやう  ふねのり 井ほりよし
《1743-1720》,《暦日2》,十九／,みつのえさる,みつ,金,入梅,神よし 大みやう  くさかりよし
《1743-1730》,《暦日0》,廿／,みつのとのとり,たいら,,　,神よし 大みやう ふく日 めつもん 地火
《1743-1740》,《暦日2》,廿一／,きのえいぬ,さたん,火,　, わたまし くらたてよし
《1743-1750》,《暦日0》,廿二／,きのとのい,とる,,　,ちう日  むきかり 田うへよし
《1743-1760》,《暦日2》,廿三／,ひのえね,やふる,水,　,●
《1743-1770》,《暦日0》,廿四／,ひのとのうし,あやふ,,　,神よし 大みやう ふく日  ものたち  つめとりよし
《1743-1780》,《暦日2》,廿五／,つちのえとら,なる,土,　,きこ  みそすつくり  つめとりよし
《1743-1790》,《暦日0》,廿六／,つちのとのう,おさん,,　,大みやう ちいみ 大くわ
《1743-1800》,《暦日2》,廿七／,かのえたつ,ひらく,金,　, けんふく かといてよし
《1743-1810》,《暦日0》,廿八／,かのとのみ,とつ,,　,十し
《1743-1820》,《暦日1》,廿九／,みつのえむま,たつ,木,　,大みやう 下しきうの時
《1743-1830》,《月序》,五月,小,建,戊午,星宿　女　土よう
《1743-1840》,《暦日1》,一／,みつのとのひつし,のそく,木,　,ふく日 わうまう  田うへよし
《1743-1850》,《節中》,夏至五月中ひつしの二刻日の出より日入まて,昼六十刻/夜四十刻,六より六まて,昼六十五刻/夜三十五刻
《1743-1860》,《暦日2》,二／,きのえさる,みつ,水,十方くれニ入,神よし 大みやう
《1743-1870》,《暦日0》,三／,きのとのとり,たいら,,　,神よし めつもん 地火
《1743-1880》,《暦日2》,四／,ひのえいぬ,さたん,土,　,五む日  むきかりよし
《1743-1890》,《暦日0》,五／,ひのとのい,とる,,　,大みやう ちう日 ふく日
《1743-1900》,《暦日2》,六／,つちのえね,やふる,火,　,●
《1743-1910》,《暦日0》,七／,つちのとのうし,あやふ,,　, 田うへ  つめとりよし
《1743-1920》,《暦日2》,八／,かのえとら,なる,木,　,きこ  井ほり  つめとりよし
《1743-1930》,《暦日0》,九／,かのとのう,おさん,,　,ちいみ 大くわ  ものたちよし
《1743-1940》,《暦日2》,十／,みつのえたつ,ひらく,水,　,大みやう 五む日
《1743-1950》,《暦日0》,十一／,みつのとのみ,とつ,,はんけしやう/天一天上,十し
《1743-1960》,《暦日2》,十二／,きのえむま,たつ,金,　,天しや よろつよし
《1743-1970》,《暦日0》,十三／,きのとのひつし,のそく,,　,大みやう 五む日  むきかりよし
《1743-1980》,《暦日2》,十四／,ひのえさる,みつ,火,　,神よし きしく  入学 いちたちよし
《1743-1990》,《暦日0》,十五／,ひのとのとり,たいら,,　,神よし ふく日 めつもん 地火
《1743-2000》,《暦日1》,十六／,つちのえいぬ,たいら,木,　,大くわ ふく日 地火
《1743-2010》,《節中》,小暑六月せつとりの七刻ニ入日の出より日入まて,昼五十九刻余/夜四十刻余,六より六まて,昼六十四刻余/夜三十五刻余
《1743-2020》,《暦日1》,十七／,つちのとのい,さたん,木,　,ちう日 ふく日  ふねのりよし
《1743-2030》,《暦日2》,十八／,かのえね,とる,土,　,さい下しき きこ 下しきたつの時
《1743-2040》,《暦日0》,十九／,かのとのうし,やふる,,　,十し
《1743-2050》,《暦日2》,廿／,みつのえとら,あやふ,金,　,大みやう  けんふく  つめとりよし
《1743-2060》,《暦日0》,廿一／,みつのとのう,なる,,　,神よし 天火 らうしやく
《1743-2070》,《暦日2》,廿二／,きのえたつ,おさん,火,　,大みやう めつもん  わたましよし
《1743-2080》,《暦日0》,廿三／,きのとのみ,ひらく,,　,大みやう ちう日
《1743-2090》,《暦日2》,廿四／,ひのえむま,とつ,水,　,●
《1743-2100》,《暦日0》,廿五／,ひのとのひつし,たつ,,　,くゑ日
《1743-2110》,《暦日2》,廿六／,つちのえさる,のそく,土,　,神よし ふく日  たねまきよし
《1743-2120》,《暦日0》,廿七／,つちのとのとり,みつ,,　,神よし 大みやう ちいみ ふく日
《1743-2130》,《暦日2》,廿八／,かのえいぬ,たいら,金,初伏/とよう夜ねの初刻ニ入,大みやう 大くわ 地火
《1743-2140》,《暦日0》,廿九／,かのとのい,さたん,,　,大みやう ちう日
《1743-2150》,《月序》,六月,大,建,己未,張宿　虛　日よう
《1743-2160》,《暦日2》,一／,みつのえね,とる,木,八せんのはしめ,きこ 下しきたつの時
《1743-2170》,《暦日0》,二／,みつのとのうし,やふる,,ま日,十し
《1743-2180》,《節中》,大暑六月中翌ねの四刻日の出より日入まて,昼五十八刻余/夜四十一刻余,六より六まて,昼六十三刻余/夜三十六刻余
《1743-2190》,《暦日2》,三／,きのえとら,あやふ,水,　, やたて  つめとりよし
《1743-2200》,《暦日0》,四／,きのとのう,なる,,　,神よし 天火 らうしやく
《1743-2210》,《暦日2》,五／,ひのえたつ,おさん,土,ま日,大みやう めつもん  けんふくよし
《1743-2220》,《暦日0》,六／,ひのとのみ,ひらく,,　,くゑ日 ちう日
《1743-2230》,《暦日2》,七／,つちのえむま,とつ,火,ま日,●
《1743-2240》,《暦日0》,八／,つちのとのひつし,たつ,,　,大みやう くゑ日 ふく日
《1743-2250》,《暦日2》,九／,かのえさる,のそく,木,中伏,神よし 大みやう  くさかりよし
《1743-2260》,《暦日0》,十／,かのとのとり,みつ,,　,大みやう ちいみ わうまう  ものたち 井ほりよし
《1743-2270》,《暦日2》,十一／,みつのえいぬ,たいら,水,ま日,大くわ 地火
《1743-2280》,《暦日0》,十二／,みつのとのい,さたん,,八せんのおはり,ちう日
《1743-2290》,《暦日2》,十三／,きのえね,とる,金,　,きしく きこ 下しきたつの時
《1743-2300》,《暦日0》,十四／,きのとのうし,やふる,,　,十し
《1743-2310》,《暦日2》,十五／,ひのえとら,あやふ,火,　, わたまし  つめとりよし
《1743-2320》,《暦日0》,十六／,ひのとのう,なる,,　,神よし 天火 らうしやく
《1743-2330》,《暦日1》,十七／,つちのえたつ,おさん,木,　,五む日 ふく日 めつもん
《1743-2340》,《節中》,立秋七月せつ翌うの一刻ニ入日の出より日入まて,昼五十七刻余/夜四十二刻余,六より六まて,昼六十二刻余/夜三十七刻余
《1743-2350》,《暦日1》,十八／,つちのとのみ,おさん,木,　,神よし 大くわ ちう日
《1743-2360》,《暦日2》,十九／,かのえむま,ひらく,土,末伏,神よし ふく日 天火 らうしやく
《1743-2370》,《暦日0》,廿／,かのとのひつし,とつ,,　,大みやう  ものたちよし
《1743-2380》,《暦日2》,廿一／,みつのえさる,たつ,金,　,神よし 大みやう 下しきみの時
《1743-2390》,《暦日0》,廿二／,みつのとのとり,のそく,,　,十し
《1743-2400》,《暦日2》,廿三／,きのえいぬ,みつ,火,　,ふく日  くらたてよし
《1743-2410》,《暦日0》,廿四／,きのとのい,たいら,,　,ちう日 めつもん 地火
《1743-2420》,《暦日2》,廿五／,ひのえね,さたん,水,　, 田かりよし
《1743-2430》,《暦日0》,廿六／,ひのとのうし,とる,,　,●
《1743-2440》,《暦日2》,廿七／,つちのえとら,やふる,土,　, たねまき  つめとりよし
《1743-2450》,《暦日0》,廿八／,つちのとのう,あやふ,,　,神よし 大みやう  みそすつくりよし
《1743-2460》,《暦日2》,廿九／,かのえたつ,なる,金,　,ちいみ ふく日  かといてよし
《1743-2470》,《暦日0》,卅／,かのとのみ,おさん,,　,大くわ ちう日
《1743-2480》,《月序》,七月,小,建,庚申,翼宿　室　火よう
《1743-2490》,《暦日2》,一／,みつのえむま,ひらく,木,　,神よし 大みやう 天火 らうしやく
《1743-2500》,《暦日0》,二／,みつのとのひつし,とつ,,　
《1743-2510》,《暦日1》,三／,きのえさる,たつ,水,十方くれニ入,神よし 大みやう ふく日 下しきみの時
《1743-2520》,《節中》,処暑七月中みの六刻日の出より日入まて,昼五十五刻余/夜四十四刻余,六より六まて,昼六十刻余/夜三十九刻余
《1743-2530》,《暦日1》,四／,きのとのとり,のそく,水,　,十し
《1743-2540》,《暦日2》,五／,ひのえいぬ,みつ,土,　,五む日
《1743-2550》,《暦日0》,六／,ひのとのい,たいら,,　,大みやう ちう日 めつもん 地火
《1743-2560》,《暦日2》,七／,つちのえね,さたん,火,　, けんふく くさかりよし
《1743-2570》,《暦日0》,八／,つちのとのうし,とる,,　,●
《1743-2580》,《暦日2》,九／,かのえとら,やふる,木,　,ふく日  つめとりよし
《1743-2590》,《暦日0》,十／,かのとのう,あやふ,,　,神よし
《1743-2600》,《暦日2》,十一／,みつのえたつ,なる,水,　,きしく 大みやう 五む日 ちいみ
《1743-2610》,《暦日0》,十二／,みつのとのみ,おさん,,天一天上,大くわ ちう日  たねまきよし
《1743-2620》,《暦日2》,十三／,きのえむま,ひらく,金,　,神よし ふく日 天火 らうしやく  かといてよし
《1743-2630》,《暦日0》,十四／,きのとのひつし,とつ,,二百十日,大みやう 五む日
《1743-2640》,《暦日2》,十五／,ひのえさる,たつ,火,　,神よし 下しきみの時  入学よし
《1743-2650》,《暦日0》,十六／,ひのとのとり,のそく,,　,十し
